Epoch,Training Accuracy,Validation Accuracy
0,0.6864201426506042,0.678462564945221
1,0.7426753044128418,0.6854966878890991
2,0.7542681694030762,0.6930596828460693
3,0.7609768509864807,0.7063289880752563
4,0.7674933671951294,0.711105465888977
5,0.7731010317802429,0.7141379714012146
6,0.779151976108551,0.7261489033699036
7,0.7843494415283203,0.727058470249176
8,0.7902451753616333,0.7266055345535278
9,0.7945929765701294,0.7309038043022156
10,0.799020528793335,0.7236778140068054
11,0.8029415011405945,0.7241579294204712
12,0.8083986639976501,0.7187426090240479
13,0.8118594884872437,0.7200568318367004
14,0.8164147734642029,0.7076232433319092
15,0.8197553157806396,0.7018094658851624
16,0.8222835659980774,0.7064827084541321
17,0.8322733640670776,0.7279844284057617
18,0.839843213558197,0.7312080264091492
19,0.842997670173645,0.7317442893981934
20,0.8454602360725403,0.7350407242774963
21,0.8465908765792847,0.7330048084259033
22,0.8482459783554077,0.7347268462181091
23,0.8501877188682556,0.7286386489868164
24,0.852624773979187,0.7304999232292175
25,0.8534992933273315,0.7307839393615723
26,0.8551512360572815,0.7267958521842957
27,0.8567984104156494,0.7284519672393799
28,0.8585051894187927,0.7298588752746582
29,0.8587669730186462,0.7298353910446167
30,0.8586587309837341,0.7295951247215271
31,0.8588024973869324,0.7301098108291626
32,0.8592957854270935,0.7295354604721069
33,0.8589138388633728,0.7289736866950989
34,0.8591700196266174,0.7289025187492371
35,0.8591973781585693,0.7285850644111633
36,0.8600896596908569,0.7295128703117371
37,0.8602077960968018,0.7295504212379456
38,0.8607279658317566,0.729953944683075
39,0.8599782586097717,0.7289074659347534
40,0.8607282638549805,0.7303470969200134
41,0.8602620363235474,0.7294538021087646
